4 56  1.43202620669844 1.42596031966838 1.4380920937285  1.22789419171067 1.22405445761168 1.23173392580966 
5 70  1.48165954240335 1.47531451678516 1.48800456802155  1.26095731504908 1.2576724707152 1.26424215938297 
6 84  1.52632903718676 1.52002955756957 1.53262851680396  1.28219412994711 1.27926625437218 1.28512200552204 
7 99  1.57703826677671 1.57047317258106 1.58360336097235  1.30316944354812 1.30064775383514 1.3056911332611 
8 113  1.6145454822075 1.60860342416693 1.62048754024807  1.31521348086803 1.31294454810458 1.31748241363148 
9 127  1.647738363527 1.64151131809276 1.65396540896124  1.32610252618521 1.32414641388856 1.32805863848185 
10 141  1.67699503290659 1.67066266838455 1.68332739742864  1.33294108230431 1.33104952692018 1.33483263768845 
11 155  1.69430803075431 1.68816385686159 1.70045220464703  1.34262017764238 1.34086600917682 1.34437434610793 
12 169  1.71751609902336 1.71135719889677 1.72367499914995  1.34568903617091 1.34402283199821 1.34735524034361 
13 183  1.73393816655427 1.72731644778414 1.74055988532441  1.35162207415409 1.35007645401833 1.35316769428985 
14 198  1.75417915002248 1.74775738784155 1.76060091220341  1.35593525496119 1.35448333032646 1.35738717959593 
15 212  1.76773430076159 1.76154142498495 1.77392717653823  1.35968163036487 1.35828942958376 1.36107383114597 
16 226  1.78454558647831 1.77770954565058 1.79138162730604  1.36186297970147 1.36050420544185 1.36322175396109 
17 240  1.80094514746707 1.79398725078914 1.807903044145  1.36426335584558 1.36294950523512 1.36557720645604 
18 254  1.80714111817134 1.80081357848462 1.81346865785806  1.36909462076335 1.36780466248166 1.37038457904505 
19 268  1.81292454309166 1.80659486059416 1.81925422558916  1.36855883351546 1.36728944208237 1.36982822494855 
20 282  1.81918649645881 1.81280774779623 1.82556524512139  1.37076459635839 1.36947205750725 1.37205713520953 
21 297  1.83146232780883 1.82464862795577 1.8382760276619  1.37260832377787 1.37135971887 1.37385692868573 
22 311  1.8437555068903 1.8373079244242 1.85020308935639  1.37367543940461 1.37244272974821 1.37490814906101 
23 325  1.84866796181761 1.84200343974849 1.85533248388673  1.3760285061302 1.37486545230972 1.37719155995069 
24 339  1.85508255035173 1.84899373806581 1.86117136263764  1.37769368688602 1.37645542125238 1.37893195251966 
25 353  1.85621079280838 1.85010180470594 1.86231978091082  1.37923459096464 1.37812601240873 1.38034316952055 
26 367  1.87172766135485 1.86483468157224 1.87862064113747  1.37918122302416 1.3780247457224 1.38033770032592 
27 381  1.87504600582218 1.86819971365927 1.88189229798509  1.38045844622795 1.37927720978554 1.38163968267037 
28 396  1.87806052559246 1.87155338752297 1.88456766366194  1.38253382822144 1.38139708011891 1.38367057632397 
29 410  1.88703248972161 1.88048583941425 1.89357914002897  1.38230839453332 1.38118485532721 1.38343193373942 
30 424  1.8824383222712 1.87600444176672 1.88887220277569  1.38312004804957 1.38196823878678 1.38427185731235 
